date,sym,side,entry,exit,qty,reason,entry_time,exit_time,rvol,gross,costs,net,R
2022-11-07,SBIN,S,612.19,614.31,5,eod,10:50,15:10,11.42,-10.57,3.25,-13.82,-0.27
2022-11-07,IRFC,L,24.26,24.64,137,eod,09:55,15:10,6.67,51.45,3.56,47.89,1.12
2022-11-09,COALINDIA,L,261.08,255.47,12,eod,09:35,15:10,13.45,-67.3,3.28,-70.58,-0.97
2022-11-09,IRFC,S,24.89,25.41,133,stop,09:30,10:35,10.86,-69.84,3.54,-73.38,-1.08
2022-11-11,TECHM,L,1062.98,1058.37,3,eod,09:35,15:10,4.82,-13.83,3.37,-17.2,-0.34
2022-11-11,ABB,S,3145.43,3161.88,1,eod,09:30,15:10,4.56,-16.45,3.34,-19.8,-0.27
2022-11-14,ADANIPOWER,L,70.03,72.21,47,eod,09:40,15:10,4.53,102.41,3.56,98.85,1.33
2022-11-14,HINDZINC,L,307.25,309.55,10,eod,11:45,15:10,15.24,22.92,3.27,19.64,0.43
2022-11-16,HINDZINC,S,316.99,319.41,10,eod,14:20,15:10,6.51,-24.18,3.37,-27.55,-0.69
2022-11-16,IRFC,L,25.66,26.84,129,eod,10:50,15:10,4.99,151.41,3.61,147.81,2.48
2022-11-24,TATACONSUM,L,794.8,781.16,4,stop,09:40,12:30,17.25,-54.55,3.34,-57.89,-1.09
2022-11-25,HDFCLIFE,L,585.29,586.01,5,eod,09:30,15:10,5.5,3.57,3.11,0.47,0.01
2022-11-28,IOC,L,75.64,76.11,44,eod,11:35,15:10,6.01,20.86,3.54,17.32,0.23
2022-12-02,SBILIFE,S,1268.52,1297.6,2,stop,12:25,14:40,4.81,-58.17,2.71,-60.88,-1.07
2022-12-02,HINDUNILVR,S,2613.69,2615.56,1,eod,11:55,15:10,4.44,-1.86,2.77,-4.64,-0.1
2022-12-05,LODHA,L,537.77,542.2,6,eod,14:00,15:10,6.19,26.61,3.44,23.17,0.31
2022-12-06,SBILIFE,S,1283.91,1286.84,2,eod,12:15,15:10,9.24,-5.87,2.73,-8.6,-0.15
2022-12-08,LODHA,L,548.82,542.23,6,eod,10:15,15:10,5.0,-39.57,3.47,-43.04,-0.75
2022-12-22,ZYDUSLIFE,S,419.84,424.01,7,eod,09:40,15:10,4.13,-29.2,3.13,-32.33,-0.57
2022-12-22,SUNPHARMA,L,1026.31,1010.74,3,stop,09:30,11:15,6.14,-46.71,3.24,-49.94,-1.11
2022-12-23,ADANIPOWER,S,52.62,52.48,63,eod,09:45,15:10,5.05,9.29,3.51,5.78,0.1
2022-12-27,MOTHERSON,L,48.97,48.93,68,eod,15:00,15:10,4.54,-3.33,3.53,-6.86,-0.09
2022-12-28,MOTHERSON,L,49.87,49.53,66,eod,09:30,15:10,4.17,-23.08,3.48,-26.56,-0.33
2022-12-29,DRREDDY,S,854.57,852.43,3,eod,10:00,15:10,7.93,6.44,2.72,3.72,0.08
2023-01-03,PFC,L,121.42,124.7,27,eod,09:35,15:10,4.28,88.48,3.53,84.94,1.85
2023-01-04,HDFCLIFE,L,608.95,599.25,5,eod,09:30,15:10,7.17,-48.52,3.2,-51.72,-0.75
2023-01-06,ABB,S,2811.59,2843.92,1,eod,09:30,15:10,9.6,-32.33,3.0,-35.32,-0.76
2023-01-06,PFC,S,125.82,125.94,26,eod,12:25,15:10,7.5,-3.27,3.47,-6.74,-0.1
2023-01-06,CHOLAFIN,S,679.76,668.83,4,eod,09:30,15:10,5.98,43.7,2.87,40.84,0.73
2023-01-09,LODHA,S,527.79,526.76,6,eod,09:30,15:10,4.11,6.14,3.36,2.78,0.07
2023-01-10,TCS,S,3239.93,3288.24,1,eod,09:30,15:10,6.01,-48.31,3.46,-51.77,-0.89
2023-01-11,BHARTIARTL,S,763.82,765.68,4,eod,09:30,15:10,10.16,-7.46,3.24,-10.7,-0.17
2023-01-12,ASIANPAINT,S,2895.35,2917.61,1,eod,10:10,15:10,4.07,-22.26,3.08,-25.34,-0.57
2023-01-16,WIPRO,L,198.8,199.2,16,eod,09:40,15:10,4.61,6.42,3.38,3.04,0.04
2023-01-18,CUMMINSIND,S,1489.95,1486.99,2,eod,10:10,15:10,4.58,5.92,3.16,2.77,0.05
2023-01-19,KOTAKBANK,S,352.92,353.53,9,eod,09:30,15:10,4.36,-5.43,3.37,-8.8,-0.13
2023-01-19,HINDZINC,L,369.23,374.56,9,eod,09:30,15:10,4.31,47.95,3.55,44.4,0.94
2023-01-20,VEDL,S,124.87,124.08,26,eod,09:30,15:10,5.28,20.42,3.43,16.99,0.25
